file,rel_file,x_col,y_col,y_raw_col,status,detected,plot,debug_csv,window,model_improve_min,model_contrast_min,depth_min,depth_bilateral_min,plateau_pad_points,plateau_pad_x_frac,start_idx,end_idx,start_x,end_x,x_span,mean_y,min_y,score
detrended_csv_per_star0/lc_star0119_det.csv_corrected.csv,lc_star0119_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0119_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0062_det.csv_corrected.csv,lc_star0062_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0062_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0096_det.csv_corrected.csv,lc_star0096_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0096_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0020_det.csv_corrected.csv,lc_star0020_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0020_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0123_det.csv_corrected.csv,lc_star0123_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0123_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0058_det.csv_corrected.csv,lc_star0058_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0058_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0036_det.csv_corrected.csv,lc_star0036_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0036_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0080_det.csv_corrected.csv,lc_star0080_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0080_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0090_det.csv_corrected.csv,lc_star0090_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0090_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0048_det.csv_corrected.csv,lc_star0048_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0048_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
